apparel_style,audio_genre,audio_valence
洛可可,Hip-Hop,0.0
洛可可,Hip-Hop,1.0
中性,Instrumental,0.0
中性,Electronic,1.0
学院,Folk,0.0
学院,Folk,1.0
新潮时尚,Folk,0.0
新潮时尚,Folk,1.0
运动休闲,Electronic,1.0
运动休闲,Hip-Hop,1.0
梦幻,Folk,0.0
梦幻,Instrumental,0.0
清新,Folk,0.0
清新,Folk,1.0
英伦,Hip-Hop,1.0
英伦,Folk,1.0
其他,Folk,0.0
其他,Folk,1.0
街头,Folk,0.0
街头,Electronic,1.0
简约,Folk,0.0
简约,Folk,1.0
宫廷,Folk,0.0
宫廷,Electronic,0.0
朋克,Electronic,1.0
朋克,Instrumental,0.0
知性,Electronic,0.0
知性,Electronic,1.0
波普,Electronic,0.0
波普,Folk,0.0
乡村田园,Folk,0.0
乡村田园,Folk,1.0
摇滚,Electronic,0.0
摇滚,Folk,0.0
森女,Folk,0.0
森女,Instrumental,0.0
复古,Folk,0.0
复古,Instrumental,0.0
优雅,Folk,0.0
优雅,Instrumental,0.0
嘻哈,Electronic,1.0
嘻哈,Folk,1.0
日系,Folk,1.0
日系,Folk,0.0
华丽,Folk,0.0
华丽,Electronic,1.0
韩版,Folk,0.0
韩版,Folk,1.0
维多利亚,Pop,0.0
维多利亚,Pop,1.0
OL通勤,Folk,0.0
OL通勤,Folk,1.0
洛丽塔,Folk,0.0
洛丽塔,Folk,1.0
波西米亚,Folk,0.0
波西米亚,Folk,1.0
欧美,Folk,0.0
欧美,Folk,1.0
甜美,Folk,0.0
甜美,Folk,1.0
性感,Folk,0.0
性感,Folk,1.0
民族风,Folk,0.0
民族风,Instrumental,0.0
淑女,Folk,0.0
淑女,Instrumental,0.0
文艺,Folk,0.0
文艺,Instrumental,0.0
淑女,Folk,1.0
韩版,Hip-Hop,1.0
复古,Folk,1.0
